Date	Kz_6.2	Kz_8	Kz_9
2017-03-12	NA	NA	NA
2017-03-26	3.95626409911601e-08	0	1.88210336723687e-07
2017-04-09	1.92310565860591e-07	4.3758202142736e-06	0
2017-04-16	0	0	1.68961966553697e-09
2017-04-23	2.31058886447167e-07	3.40350444870662e-05	0
2017-04-30	1.36462096213631e-07	0.000104225375041544	0
2017-05-04	6.58508513419685e-08	0.000193130741106434	0
2017-05-07	3.88274812983086e-08	0	0
2017-05-09	3.23631168098184e-08	5.2711899234235e-05	0
2017-05-14	5.6207533217392e-08	0	0
2017-06-28	6.5761556599037e-07	0	0
2017-07-04	4.10847599261971e-08	1.04580733188033e-05	0
2017-07-09	1.36394211537281e-08	2.92598573240813e-05	0
2017-07-10	6.21947481205956e-08	2.48008270192433e-06	0
2017-07-11	0	3.33318906924417e-06	0
2017-07-12	9.24062695383269e-09	2.35217729576749e-05	0
2017-08-06	3.09346048777362e-07	0.000222851616321257	0
2017-08-09	1.8291510787937e-08	3.82989096174856e-06	0
2017-08-13	1.92479159113265e-08	1.38984309130445e-05	0
2017-08-16	1.36108843262668e-08	3.73013463972345e-05	0
2017-08-20	1.88254415691435e-08	0	0
2017-08-27	2.01261133012216e-08	4.09771450113034e-05	0
2017-09-03	1.3006465762525e-08	2.90621381192305e-05	0
2017-09-10	1.64351972545014e-08	1.22854594757345e-05	0
2017-09-18	6.44813230938708e-08	3.3449514779411e-06	0
2017-09-24	0	0	0
2017-10-15	6.41683142333322e-08	0.000100542762628589	0
2017-10-16	1.3895257558153e-08	0	2.50831717901255e-09
2017-12-10	0	0	2.76245457354682e-06
2018-04-20	5.15367089559067e-07	1.56300272809312e-05	0
2018-04-23	2.21592891099954e-07	1.80906185355373e-06	0
2018-04-30	1.769538949442e-07	0.00291962402997537	0
2018-05-04	1.13997128634912e-07	3.98829266621694e-05	0
2018-05-07	8.13178602150728e-08	0.000118604866009178	0
2018-05-11	1.14015075198288e-07	3.76221999169714e-05	0
2018-05-14	6.91651211983474e-08	0.000213536441581532	0
2018-05-17	4.99938385260051e-08	3.15633345263442e-05	0
2018-05-28	1.4445027446646e-07	1.29234370227284e-05	0
2018-05-30	0	2.00235303496942e-05	0
2018-05-31	1.38458527764051e-08	3.27066833504725e-06	0
2018-06-04	3.89241408388756e-08	1.65890020307147e-05	0
2018-06-07	2.83673558227956e-08	2.87125925011691e-05	0
2018-06-11	8.86006073416588e-08	4.2702264015562e-06	0
2018-06-14	0	1.00787962716276e-05	0
2018-06-18	5.65028387216773e-08	4.66915290580953e-06	0
2018-06-21	1.45377093349843e-08	2.10981745624897e-05	0
2018-06-25	3.83666745763436e-08	3.00773272200215e-05	0
2018-06-28	7.35095575870735e-09	0	0
2018-07-02	3.69188739003702e-08	4.11333102026507e-05	0
2018-07-05	1.52017506627619e-08	1.60339587040265e-05	0
2018-07-09	2.25507451928574e-08	2.05763158200832e-05	0
2018-07-16	7.40246659459494e-08	4.90200224365557e-06	0
2018-07-19	0	2.59955631905084e-05	0
2018-07-26	8.04892974961366e-08	0.00050729833867586	0
2018-08-02	1.08212008376093e-08	0	1.69553745869298e-08
2018-08-06	5.61838298625096e-08	9.1940893042399e-07	0
2018-08-09	0	0	1.77437126649258e-08
2018-08-10	0	1.93378321490061e-05	0
2018-08-14	5.01544481696602e-08	4.09508151982627e-06	0
2018-08-16	0	0	3.58145357673392e-09
2018-08-20	3.85655519225758e-08	0	1.41055813196802e-08
2018-08-24	0	8.05538873464453e-08	5.15260172222776e-09
2018-08-27	5.52762930794057e-08	2.44550590953409e-07	0
2018-09-03	0	7.67790498813454e-07	0
2018-09-10	6.65322187408036e-08	5.78849220875909e-06	0
2018-09-12	0	0	7.46456691180777e-09
2018-09-17	5.25453412782522e-07	2.89231902835378e-06	0
2018-09-21	1.67076879640096e-08	2.90284962431954e-07	0
2018-09-24	1.24921531058739e-07	6.10731595406809e-07	0
2018-10-01	0	0	1.86169693651035e-08
2018-10-05	0	0	1.36103534750146e-08
2018-10-08	1.34643047803565e-07	6.48715704069591e-07	0
2018-10-15	0	7.09857265417356e-08	0
2018-10-19	0	0	4.20789524401184e-08
2018-10-22	0	4.52805776950048e-07	0
2018-10-29	0	0	1.63451955569496e-07
2018-11-02	0	0	5.12127259976561e-08
2018-11-07	3.45478397966595e-08	1.32596146701692e-05	0
2018-11-13	0	0	3.42950778068795e-07
2018-11-19	0	0.0140329724464579	3.45993779567817e-07
2018-12-06	0	0	8.01182633009141e-07
2018-12-17	0	0	3.3997803277747e-07
